reviewer,data_extractor,acc_no,author,title,date,journal,doi,obs_no,auth_type,lat_N,lat_S,long_W,long_E,region,country,prev,comp,retal,genus,species,pop_trend,fish_type,fish_gear,fish_spp,fish_mult,fish_loc,method,source,x_norm,x_int,n_int,x_dmg,sd_dmg,n_dmg,economic,gear_comment,comments,to_discuss
WA,WA,acc_099,"Hamer D.J., Goldsworthy S.D.",Seal-fishery operational interactions: Identifying the environmental and operational aspects of a trawl fishery that contribute to by-catch and mortality of Australian fur seals (Arctocephalus pusillus doriferus),2006,Biological Conservation,10.1016/j.biocon.2006.01.014,obs_1,other,-40 15 00,-42 40 00,144 45 00,144 55 00,Tasmania,Australia,1,0,0,Arctocephalus,pusillus doriferus,NA,large,trawl,Macruronus_novaezelandiae,0,off,camera,P524,0.25,0.121,100,NA,NA,NA,NA,,"Mortality rate of 0.065 seals per 100 trawls. This is measuring by-catch as teh interaction, but there are also reports of",
KD,KD,acc_139,"Konigson S., Lunneryd S.-G., Stridh H., Sundqvist F.",Grey seal predation in cod gillnet fisheries in the central Baltic sea,2009,Journal of Northwest Atlantic Fishery Science,10.2960/J.v42.m654,obs_1,fisheries,57 30 00,57 05 00,16 30 00,17 30 00,Northwest of Oland,Central Baltic Sea,0,0,0,Halichoerus,grypus,NA,small,net,NA,1,near,obs_onboard,P44,0.75,,108,0.759259259,NA,108,NA,,"Not sure which metric we want to use. Needs some thinking. But great data in this paper. They also report number of cod damaged. THink about whether we want to use percentage of fleets with damaged cod as the interaction variable or not. JJ - I have gone with info on the fleets, of which 4 on average were set per trip, and of which occured over 0.75 of a day (afternoon- morning). 324 fleets in 108 trips. Can convert number of damaged fish caught as percentage of total.",
KD,JJ,acc_145,"Lehtonen E., Suuronen P.",Mitigation of seal-induced damage in salmon and whitefish trapnet fisheries by modification of the fish bag,2004,ICES Journal of Marine Science,10.1016/j.icesjms.2004.06.012,obs_1,fisheries,60 28 00,60 28 00,26 56.5 00,26 56.5 00,Baltic Sea,Finland,1,0,0,Halichoerus,grypus,2,small,other,Salmo_salar,0,near,obs_onboard,T1,1,NA,NA,0.35,32.83747859,242,0,"discuss damage to gear, but generally not reported.","Same comparison of a modified net trapping method in Finland. Very detailed measures of ctach damaged. Conventiontal vs Modified trap systems. So the 'Conventional' data in Table 1 and Table 2 is our data. Split for Salmon and WhiteFish and have detailed breakdown. Using percentage of damaged catch, but also have number of hauls (done daily so day is right unit) (although not clear what each row is) and kg catch so easily modifiable.",
KD,JJ,acc_145,"Lehtonen E., Suuronen P.",Mitigation of seal-induced damage in salmon and whitefish trapnet fisheries by modification of the fish bag,2004,ICES Journal of Marine Science,10.1016/j.icesjms.2004.06.012,obs_2,fisheries,60 28 00,60 28 00,26 56.5 00,26 56.5 00,Baltic Sea,Finland,1,0,0,Halichoerus,grypus,2,small,other,Coregonus_lavaretus,0,near,obs_onboard,T2,1,NA,NA,0.05,4.320493799,180,0,"discuss damage to gear, but generally not reported.",Same comparison of a modified net trapping method in Finland. Very detailed measures of ctach damaged. Conventiontal vs Modified trap systems. So the 'Conventional' data in Table 1 and Table 2 is our data. Split for Salmon and WhiteFish.,
KD,JJ,acc_158,"Lunneryd S.G., Fjalling A., Westerberg H.",A large-mesh salmon trap: A way of mitigating seal impact on a coastal fishery,2003,ICES Journal of Marine Science,10.1016/S1054-3139(03)00145-0,obs_1,fisheries,62 30 00,62 30 00,17 00 00,17 00 00,Northern Baltic Sea,Sweden,1,0,0,Halichoerus,grypus,2,small,other,NA,1,near,obs_onboard; camera,T1; Results,1,1,2,0.5,10.69267662,88,0,report on damage but not economics,"Same set up with Conventiontal vs modified trap systems. So the 'Conventional' data in Table 1 is our data. Hard to decipher what exactly is the information we need, but the percentage damage totals at the bottom of T1. Hauls were in the results and days (soak of the hauls) in the discussion. They report feeding observations too as their operational interactions. reported in Results, and approximately over two days of observation. However this is a frequency-based measure. They report 100% interactions per day from 2 days though.",
KD,JJ,acc_161,"Machado R., Ott P.H., Moreno I.B., Danilewicz D., Tavares M., Crespo E.A., Siciliano S., Rosa De Oliveira L.",Operational interactions between South American sea lions and gillnet fishing in southern Brazil,2016,Aquatic Conservation: Marine and Freshwater Ecosystems,10.1002/aqc.2554,obs_1,academia,-28 50 00,-30 20 00,-50 20 00,-49 00 00,Southern Brazilian coast,Brazil,0,0,0,Otaria,flavescens,NA,small,gillnet,NA,1,near,obs_onboard,Results,1,0.24,484,NA,NA,NA,0,,"no damage reporting here. slight ambiguity on what constitutes a fishing operation vs. a trip, but have assumed that this mean't trip based on their descriptions. Otherwise very clearly presented study.",
WA,WA,acc_166,"Maravilla-Chavez M.O., Hernandez-Vazquez S., Zavala-Gonzalez A., Ortega-Rubio A.",Reduction of the impact produced by sea lions on the fisheries in Mexico,2006,Journal of Environmental Biology,NA,obs_1,government,25 00 00,24 00 00,-111 00 00,-110 00 00,Bay of La Paz,Mexico,1,0,0,Zalophus,californianus californianus,NA,small,gillnet,NA,1,near,obs_onboard,T1,0.3125,NA,NA,0.4,NA,34,1,,Study explores experimental gillnet throws to determine the frequency and preferences of sea lions in fishing areas. We're sticking with the traditional one.,
KD,JJ,acc_195,"Oliveira L.R.D., Pont A.C., Machado R., Engel M.T., Ott P.H., Crespo E.A., Marchini S.",Assessing the economic impact caused by South American sea lions based on onboard check versus fishermen's perception: The two sides of the same coin,2020,Marine Policy,10.1016/j.marpol.2020.104193,obs_1,academia,-29 15 00,-29 30 00,-49 45 00,-49 30 00,Southern Brazilian coast,Brazil,0,0,0,Otaria,flavescens,NA,small,gillnet,NA,1,near,obs_onboard,Results; T3,1,0.42,161,0.03,NA,161,1,,"A really exemplary study in terms of reporting. Did a full predation study to estimate the catch loss under different scenarios, as well as comparison with surveys. Estimate of fishing operations is approximately 1 day from their findings. dmg is the maximum scenario and expressed as an estimated percentage of total catch.",
KD,JJ,acc_210,"Rafferty A.R., Brazer E.O., Reina R.D.",Depredation by harbor seal and spiny dogfish in a Georges Bank gillnet fishery,2012,Fisheries Management and Ecology,10.1111/j.1365-2400.2011.00837.x,obs_1,academia,41 12 00,41 12 00,-67 75 00,-67 75 00,Georges Banks,United States,0,0,0,Phoca,vitulina,NA,large,gillnet,NA,1,off,obs_onboard,Results; T1,5.87,NA,NA,0.004,NA,61,1,,Here depredation standardisation to days is based on average soak time (141 hours from range of 18 h - 274 h) for the 61 hauls observed. So 5.87 days per haul. Seal depredation is percentage of catch.,
RO,JJ,acc_222,"Rios N., Paradinas M.D., Milliou A., Cox R.","Occurrence and impact of interactions between small-scale fisheries and predators, with focus on Mediterranean monk seals (Monachus monachus Hermann 1779), around Lipsi Island complex, Aegean Sea, Greece",2017,Fisheries Research,10.1016/j.fishres.2016.10.013,obs_1,academia,37 20 00,37 15 00,26 40 00,26 50 00,Aegean sea,Greece,1,0,1,Monachus,monachus,0,small,"net, line",NA,1,near,obs_onboard,T3,1,0.412398922,371,0.191374663,NA,extrapolation really,They have a full CPUE and estimated loss per fish species. Maybe one to extract further info from?,,very interesting paper because it also provides predictors or factors affecting the interaction. Very thorough and has a breakdown fo CPUE for each fish species.,
WA,WA,acc_224,"Roche C., Guinet C., Gaseo N., Duhamel G.",Marine mammals and demersal longline fishery interactions in crozet and kerguelen exclusive economic zones: An assessment of depredation levels,2007,CCAMLR Science,NA,obs_1,government,-47 00 00,-50 30 00,65 12 00,75 00 00,Kerguelen EEZs,Antarctica,0,0,0,Arctocephalus,gazella,NA,large,line,Dissostichus_eleginoides,0,off,obs_onboard,T1,0.1205493,0.211,6263,0,NA,6263,0,Economic estimates of total depredation cost for multiple species including fur seal are given. But estimates for only pinnipeds (fur seals) are not presented.,"In the Kerguelen EEZ on the other hand, A. gazella is the only breeding species. Numerical proportion of interactions (x_int) is estimated over three years. However, fishing period was not found to have an effect in the study, so it would be safe to keep these estimates as the single fishery for a single year. Sampling from 09/09/2003 - 03/10/2005 so 755 days. Between 7 boats that is 107.8571 days of fishing for each boat on average. Then the total lines set were 1308 and 6263, so 186.8571 and 894.7143 per boat. Therefore you have total times of each haul/line of 0.5772171 days and 0.1205493, respectively. In both zones, no catch lost due to pinnipeds.",
WA,WA,acc_224,"Roche C., Guinet C., Gaseo N., Duhamel G.",Marine mammals and demersal longline fishery interactions in crozet and kerguelen exclusive economic zones: An assessment of depredation levels,2007,CCAMLR Science,NA,obs_2,government,-44 30 00,-47 30 00,45 00 00,53 00 00,Crozet EEZ,Antarctica,0,0,0,Arctocephalus,spp.,NA,large,line,Dissostichus_eleginoides,0,off,obs_onboard,T1,0.5772171,0.003,1308,0,NA,1308,0,Economic estimates of total depredation cost for multiple species including fur seal are given. But estimates for only pinnipeds (fur seals) are not presented.,"Arctocephalus spp. incude Arctocephalus tropicalis and Arctocephalus gazella. Interaction and depredation estimates are these sub-species combined. Numerical proportion of interactions (x_int) is estimated over three years. However, fishing period was not found to have an effect in the study, so it would be safe to keep these estimates as the single fishery for a single year.",
WA,WA,acc_233,"Seco Pon J.P., Garcia G., Copello S., Moretinni A., Lertora H.P., Pedrana J., Mauco L., Favero M.",Seabird and marine mammal attendance in the Chub mackerel Scomber japonicus semi-industrial Argentinian purse seine fishery,2012,Ocean and Coastal Management,10.1016/j.ocecoaman.2012.04.017,obs_1,academia,-37 20 00,-38 20 00,-57 40 00,-57 00 00,SE Buenos Aires Province,Argentina,0,0,0,Otaria,flavescens,NA,large,net,Scomber_japonicus,0,near,obs_onboard,T1,1,0.021,25,NA,NA,NA,0,,"Interactions are classified as 'attendances' of the pinniped interacting with the gear. net = purse seine for fishing gear, effects size estimates are from number assessed trips - not yet converted into a proportion of the total number of trips in a year. Author contact necessary. Converted to fishing days based on their info for the cruises.",
WA,WA,acc_233,"Seco Pon J.P., Garcia G., Copello S., Moretinni A., Lertora H.P., Pedrana J., Mauco L., Favero M.",Seabird and marine mammal attendance in the Chub mackerel Scomber japonicus semi-industrial Argentinian purse seine fishery,2012,Ocean and Coastal Management,10.1016/j.ocecoaman.2012.04.017,obs_2,academia,-37 20 00,-38 20 00,-57 40 00,-57 00 00,SE Buenos Aires Province,Argentina,0,0,0,Arctocephalus,australis,NA,large,net,Scomber_japonicus,0,near,obs_onboard,T1,1,0.002,25,NA,NA,NA,0,,"Interactions are classified as 'attendances' of the pinniped interacting with the gear. net = purse seine for fishing gear, effects size estimates are from number assessed trips - not yet converted into a proportion of the total number of trips in a year. Author contact necessary. Converted to fishing days based on their info for the cruises.",
WA,WA,acc_234,"Sepulveda M., Martinez T., Oliva D., Couve P., Pavez G., Navarro C., Stehlik M., Duran L.R., Luna-Jorquera G.",Factors affecting the operational interaction between the South American sea lions and the artisan gillnet fishery in Chile,2018,Fisheries Research,10.1016/j.fishres.2018.01.014,obs_1,academia,-33 30 00,-34 00 00,-72 30 00,-71 30 00,Central Chile,Chile,0,0,0,Otaria,byronia,NA,small,net,Merluccius_gayi,0,near,obs_onboard,T1,0.114583333,0.566,145,0.016666667,0.89,145,0,Gear-induced mortality of two sea lions during the fishing trips,"Interactions were observed on 56.6% of observered trips, but over two years. Three coves sampled very close together - Higuerillas (32?55?S–71?32?W), El Membrillo (33?1?S–71?37?W). Damage is PPUE, which equals the biomass of south pacific hake damaged by south american sea lion multiplied by the immersion time of the fishing net, multiplied by the total surface area of the fishing net (m2). and San Antonio (33?35?S–71?36?W). Now converted to percentage of catch lost. They give info of 2.75h average haul time (range 1-3.5h), which we use to do the standardisation.",
WA,WA,acc_236,"Sepulveda M., Perez M.J., Sielfeld W., Oliva D., Duran L.R., Rodriguez L., Araos V., Buscaglia M.",Operational interaction between South American sea lions Otaria flavescens and artisanal (small-scale) fishing in Chile: Results from interview surveys and on-board observations,2007,Fisheries Research,10.1016/j.fishres.2006.10.009,obs_1,academia,-18 00 00,-56 00 00,-75 00 00,-68 00 00,Chile,Chile,0,0,1,Otaria,flavescens,2,small,net,Merluccius_gayi,0,near,obs_onboard,P336; S3.2,1,0.145,69,0.065,NA,69,0,"In two observer trips, damagewas observed both to fish and the fishing gear",,
WA,WA,acc_236,"Sepulveda M., Perez M.J., Sielfeld W., Oliva D., Duran L.R., Rodriguez L., Araos V., Buscaglia M.",Operational interaction between South American sea lions Otaria flavescens and artisanal (small-scale) fishing in Chile: Results from interview surveys and on-board observations,2007,Fisheries Research,10.1016/j.fishres.2006.10.009,obs_1,academia,-18 00 00,-56 00 00,-75 00 00,-68 00 00,Chile,Chile,0,0,1,Otaria,flavescens,2,small,net,Merluccius_gayi,0,near,obs_onboard,P336; S3.2,1,0.145,69,0.065,NA,69,0,"In two observer trips, damagewas observed both to fish and the fishing gear",,
WA,WA,acc_247,"Suuronen P., Siira A., Kauppinen T., Riikonen R., Lehtonen E., Harjunpaa H.",Reduction of seal-induced catch and gear damage by modification of trap-net design: Design principles for a seal-safe trap-net,2006,Fisheries Research,10.1016/j.fishres.2006.02.014,obs_1,government,61 51 00,61 45 00,21 12 00,21 24 00,Merikarvia,Finland,1,0,0,Halichoerus,grypus,2,small,other,Salmo_salar,0,near,obs_onboard,P134; S3.2,1,NA,NA,0.3,NA,47,0,Gear modification experiment,"Need to contact authors for this one to get number of hauls observed in the study, and also the number of trips made per haul and the number of trips made by fishers annually.",
WA,WA,acc_250,"Szteren D., Paez E.",Predation by southern sea lions (Otaria flavescens) on artisanal fishing catches in Uruguay,2002,Marine and Freshwater Research,10.1071/MF02006,obs_1,academia,-34 30 00,-35 20 00,-56 10 00,-53 50 00,Piriapolis region,Uruguay,0,0,0,Otaria,flavescens,2,small,net,NA,1,near,obs_onboard,T2,1,NA,NA,0.59,221.78,53,0,,Standard dev of effects size estimate for catch damage is provided raw (see T2 of paper).,
KD,JJ,acc_261,"Vilata J., Oliva D., Sepulveda M.",The predation of farmed salmon by South American sea lions (Otaria flavescens) in southern Chile,2010,ICES Journal of Marine Science,10.1093/icesjms/fsp250,obs_1,NA,-41 35 00,-41 45 00,-72 45 00,-72 20 00,Los Lagos,Chile,0,0,0,Otaria,flavescens,NA,small,net,Salmonids,0,near,obs_onboard,T1,0.041666667,1,134.84,NA,NA,NA,NA,,"Interactions presented as sightings per hour. Converted to sightings per day, but more than one sighting per day. These are not direct interactions however.",
KD,JJ,acc_264,"Weise M.J., Harvey J.T.","Impact of the California sea lion (Zalophus californianus) on salmon fisheries in Monterey Bay, California",2005,Fishery Bulletin,NA,obs_1,academia,37 10 00,36 1.5 00,-122 10 00,-121 50 00,California,United States,0,0,0,Zalophus,californianus,2,large,line,Salmonids,0,,obs_onboard; survey,F2,0.041666667,NA,NA,0.1239,9.16,1754,NA,,"Here they report the percentage of catch taken for three groups of fishers, with a total of 1754 hours obervations onboard or surveys at docks. Very well reported study.Merged commercial and non-commercial as they were not significantly different.",
KD,JJ,acc_266,Wickens P.,Interactions between South African fur seals and the purse-seine fishery,1994,Marine Mammal Science,10.1111/j.1748-7692.1994.tb00500.x,obs_1,academia,-30 00 00,-38 00 00,12 00 00,26 00 00,Southern African Coastline,South Africa,0,0,0,Arctocephalus,pusillus pusillus,NA,large,net,NA,1,off,obs_onboard,Results,0.041666667,0.99,1410,NA,NA,NA,NA,,"Percentage of hauls with interactions here. Almost all had interactions of some sort, the paper then goes on to quantify the number of seals seens each interaction. They report that there was depredation but very hard to quantify. However, no substantial gear damage.",
RO,JJ,acc_267,Wickens P.A.,Case Studies and Reviews: Fur seals and lobster fishing in South Africa,1996,Aquatic Conservation: Marine and Freshwater Ecosystems,10.1002/(sici)1099-0755(199609)6:3<179::aid-aqc184>3.0.co;2-n,obs_1,academia,-28 00 00,-36 00 00,14 00 00,26 00 00,West coast,South Africa,0,0,1,Arctocephalus,pusillus,NA,small,other,Jasus_lalandii,0,near,obs_onboard,T1,1,0.67,52,NA,NA,NA,NA,,Here they use trapnets and hoops. Interesting that they note that damage could be due to other factors such as natural damage (rocks for isntance). Interactions are just seals observed during fishing days. Damage is percentage of days with damage.,
RO,JJ,acc_267,Wickens P.A.,Case Studies and Reviews: Fur seals and lobster fishing in South Africa,1996,Aquatic Conservation: Marine and Freshwater Ecosystems,10.1002/(sici)1099-0755(199609)6:3<179::aid-aqc184>3.0.co;2-n,obs_2,academia,-28 00 00,-36 00 00,14 00 00,26 00 00,"West coast, Port Nolloth",South Africa,0,0,1,Arctocephalus,pusillus,NA,small,net,Jasus_lalandii,0,near,obs_onboard,T1,1,0.9,21,0.24,NA,NA,NA,traps and hoopnets asssessed. described as percentage of observation days with equipment damage,Here they use trapnets and hoops. Interesting that they note that damage could be due to other factors such as natural damage (rocks for isntance). Interactions are just seals observed during fishing days. Damage is percentage of days with damage.,
RO,JJ,acc_267,Wickens P.A.,Case Studies and Reviews: Fur seals and lobster fishing in South Africa,1996,Aquatic Conservation: Marine and Freshwater Ecosystems,10.1002/(sici)1099-0755(199609)6:3<179::aid-aqc184>3.0.co;2-n,obs_3,academia,-28 00 00,-36 00 00,14 00 00,26 00 00,"West coast, Elands Bay",South Africa,0,0,1,Arctocephalus,pusillus,NA,small,net,Jasus_lalandii,0,near,obs_onboard,T1,1,0.4,20,0.05,NA,NA,NA,traps and hoopnets asssessed. described as percentage of observation days with equipment damage,Here they use trapnets and hoops. Interesting that they note that damage could be due to other factors such as natural damage (rocks for isntance). Interactions are just seals observed during fishing days. Damage is percentage of days with damage.,
RO,JJ,acc_270,"Wickens P.A., Sim P. F.","Trawling operations and South African (Cape) fur seals, Arctocephalus pusillus pusillus",1994,Marine Fisheries Review,NA,obs_1,academia,-30 00 00,-38 00 00,14 00 00,26 00 00,West coast,South Africa,1,0,1,Arctocephalus,pusillus,NA,large,trawl,Merluccius,1,off,obs_onboard,T4; Results,1,0.84,139,NA,NA,NA,NA,,Changed from Rods initial extraction to convert to days + to add the inshore component.,
RO,JJ,acc_270,"Wickens P.A., Sim P. F.","Trawling operations and South African (Cape) fur seals, Arctocephalus pusillus pusillus",1994,Marine Fisheries Review,NA,obs_2,academia,-30 00 00,-38 00 00,14 00 00,26 00 00,West coast,South Africa,1,0,1,Arctocephalus,pusillus,NA,large,trawl,Merluccius,1,near,obs_onboard,T4; Results,1,0.95,27,NA,NA,NA,NA,,,
KD,JJ,acc_025,"Berninsone L.G., Bordino P., Gnecco M., Foutel M., Mackay A.I., Werner T.B.",Switching Gillnets to Longlines: An Alternative to Mitigate the Bycatch of Franciscana Dolphins (Pontoporia blainvillei) in Argentina,2020,Frontiers in Marine Science,10.3389/fmars.2020.00699,obs_1,ngo,-35 00 00,-38 20 00,-58 00 00,-56 20 00,"Bahia Samborombon, Cabo San Antonio, Buenos Aires Provence",Argentina,0,0,0,Otaria,byronia,NA,small,net,NA,1,near,obs_onboard,T5,0.91875,0.35,452,0.018,0.005477226,NA,0,"Damage estimated as the attacks per kg of total fish catch, defined as attacks per unit effort APUE.",Table 5 a very rich source of data,
KD,JJ,acc_025,"Berninsone L.G., Bordino P., Gnecco M., Foutel M., Mackay A.I., Werner T.B.",Switching Gillnets to Longlines: An Alternative to Mitigate the Bycatch of Franciscana Dolphins (Pontoporia blainvillei) in Argentina,2020,Frontiers in Marine Science,10.3389/fmars.2020.00699,obs_2,ngo,-35 00 00,-38 20 00,-58 00 00,-56 20 00,"Bahia Samborombon, Cabo San Antonio, Buenos Aires Provence",Argentina,0,0,0,Otaria,byronia,NA,small,line,NA,1,near,obs_onboard,T5,0.127083333,0.1775,415,0.0155,0.004932883,NA,0,"Damage estimated as the attacks per kg of total fish catch, defined as attacks per unit effort APUE.",Table 5 a very rich source of data,
